支付宝交易记录明细查询
账号:[13173026163]
起始日期:[2024-05-07 00:00:00]    终止日期:[2024-06-07 13:56:27]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2024060722001453491405381968	,3412660000482200007895228954197706	,2024-06-07 11:37:51 ,2024-06-07 11:37:51 ,2024-06-07 11:37:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,济南市浪潮集团食堂       ,浪潮本地部署移动支付          ,10.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20240607377239956491 	,                    	,2024-06-07 04:04:16 ,                    ,2024-06-07 04:04:16 ,支付宝网站     ,即时到账交易          ,景顺长城基金管理有限公司    ,余额宝-2024.06.06-收益发放 ,2.25    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2024060622001153491400054081	,T200P3921097249913637424	,2024-06-06 12:27:34 ,2024-06-06 12:27:39 ,2024-06-06 20:44:58 ,淘宝        ,支付宝担保交易         ,t***3           ,索尼E卡口 SELP1650 16-50mm  F3.5-5,300.00  ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2024060622001153491400317461_3920901229133637424	,T200P3920901229133637424	,2024-06-06 12:25:53 ,                    ,2024-06-06 12:25:53 ,淘宝        ,支付宝担保交易         ,t***3           ,退款-索尼E卡口 SELP1650 16-50mm  F3.5-5,300.00  ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2024060622001453491458329238	,8012660000482200007895035917288184	,2024-06-06 11:36:13 ,2024-06-06 11:36:13 ,2024-06-06 11:36:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,济南市浪潮集团食堂       ,浪潮本地部署移动支付          ,9.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2024060622001153491400317461	,T200P3920901229133637424	,2024-06-06 09:59:19 ,2024-06-06 09:59:23 ,2024-06-06 12:25:53 ,淘宝        ,支付宝担保交易         ,t***3           ,索尼E卡口 SELP1650 16-50mm  F3.5-5,300.00  ,支出      ,交易关闭    ,0.00     ,300.00   ,                    ,已支出      ,
2024060622001153491457203758	,T200P3920992022781637424	,2024-06-06 09:12:23 ,                    ,2024-06-06 09:13:16 ,淘宝        ,支付宝担保交易         ,x***2           ,索尼套头1650镜头（个人卖家     ,322.00  ,不计收支    ,交易关闭    ,0.00     ,0.00     ,                    ,         ,
2024060622001453491400918882	,5312660000489000009000064394224158	,2024-06-06 08:28:03 ,2024-06-06 08:28:03 ,2024-06-06 08:28:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,三点把子肉(万科中心店)    ,三点把子肉(万科中心店)        ,2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20240606370797763491 	,                    	,2024-06-06 03:52:48 ,                    ,2024-06-06 03:52:48 ,支付宝网站     ,即时到账交易          ,景顺长城基金管理有限公司    ,余额宝-2024.06.05-收益发放 ,2.56    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2024060522001453491452451800	,6212660000482200007895228947591388	,2024-06-05 11:32:55 ,2024-06-05 11:32:56 ,2024-06-05 11:32:56 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,济南市浪潮集团食堂       ,浪潮本地部署移动支付          ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
